% Transfer function for transducer: 19PM1620G measured at 0.5 V amplitude within a frequency range of 101 Hz and 50000 Hz
% Data written on: 2015/02/26
% Frequency(Hz)	Re(Hbx)(m/V)	Im(Hbx)(m/V)
4.601000000000000000e+03	-1.645339141506012978e-06	2.966281737137627618e-07
4.701000000000000000e+03	-1.661316425605710777e-06	2.843824355941351686e-07
4.801000000000000000e+03	-1.654268079326438156e-06	3.673162093560822175e-07
4.901000000000000000e+03	-1.796995286084951856e-06	3.678852737998957220e-07
5.001000000000000000e+03	-1.785388566072723616e-06	4.827716163225764176e-07
5.101000000000000000e+03	-1.781188610247061264e-06	5.382909485206918875e-07
5.201000000000000000e+03	-1.791087677663368223e-06	5.784747127914921608e-07
5.301000000000000000e+03	-1.737097871004796394e-06	4.973240895566529192e-07
5.401000000000000000e+03	-1.657521819846886056e-06	5.827546433586885503e-07
5.501000000000000000e+03	-1.636473468534943045e-06	4.836670372587993640e-07
5.601000000000000000e+03	-1.727723354272060636e-06	4.402308473381255146e-07
5.701000000000000000e+03	-1.758161560582978323e-06	4.987467702391480252e-07
5.801000000000000000e+03	-1.903008069482930304e-06	6.449484272478342961e-07
5.901000000000000000e+03	-1.895177374466910988e-06	7.033475495485981577e-07
6.001000000000000000e+03	-1.836660493280701079e-06	9.404976717533567742e-07
6.101000000000000000e+03	-1.624926186978855640e-06	1.000732669174882269e-06
6.201000000000000000e+03	-1.399118245895109145e-06	8.873044397751847208e-07
6.301000000000000000e+03	-1.265796005202092564e-06	7.381844826582746353e-07
6.401000000000000000e+03	-1.356858683220583290e-06	6.244378384661891903e-07
6.501000000000000000e+03	-1.336547665311387563e-06	6.053667741363420473e-07
6.601000000000000000e+03	-1.350409731920193364e-06	5.530340271564046531e-07
6.701000000000000000e+03	-1.426164645948042442e-06	5.474828585317128830e-07
6.801000000000000000e+03	-1.514592039377095571e-06	4.904697059962604715e-07
6.901000000000000000e+03	-1.447716711492215587e-06	4.942337040418280109e-07
7.001000000000000000e+03	-1.509914545752854393e-06	4.196209327531557438e-07
7.101000000000000000e+03	-1.530105810541832447e-06	4.365761637479664753e-07
7.201000000000000000e+03	-1.549197553551062317e-06	4.879465844739771064e-07
7.301000000000000000e+03	-1.567480414351420123e-06	5.618401811774772536e-07
7.401000000000000000e+03	-1.602140092725086290e-06	4.957089944575407152e-07
7.501000000000000000e+03	-1.592873384547863705e-06	5.577397480173251614e-07
7.601000000000000000e+03	-1.633296978949933412e-06	5.692748612587237446e-07
7.701000000000000000e+03	-1.649006806707308008e-06	4.737112511331290780e-07
7.801000000000000000e+03	-1.618451373057057140e-06	4.721953892942194442e-07
7.901000000000000000e+03	-1.679016971705363490e-06	5.723985247984503763e-07
8.001000000000000000e+03	-1.664692734944031379e-06	5.779253530494248673e-07
8.101000000000000000e+03	-1.652904795907710166e-06	5.534786063053319544e-07
8.201000000000000000e+03	-1.684693279901952462e-06	6.234473681491835941e-07
8.301000000000000000e+03	-1.732514853013993748e-06	5.874096767312258943e-07
8.401000000000000000e+03	-1.735118348492736831e-06	5.788042556738416537e-07
8.501000000000000000e+03	-1.759783143839452868e-06	5.722530123900205818e-07
8.601000000000000000e+03	-1.785278324113112797e-06	5.861162507692096371e-07
8.701000000000000000e+03	-1.789763264783786203e-06	6.111253216038528729e-07
8.801000000000000000e+03	-1.821591339904199077e-06	6.815677240058960742e-07
8.901000000000000000e+03	-1.822673105954798926e-06	6.495893215537398556e-07
9.001000000000000000e+03	-1.887441335771449912e-06	6.974527097856354151e-07
9.101000000000000000e+03	-1.893338760784903862e-06	7.677117061244191656e-07
9.201000000000000000e+03	-1.932564969208503739e-06	7.912025473707956264e-07
9.301000000000000000e+03	-1.858921669458795440e-06	8.381546992747158367e-07
9.401000000000000000e+03	-1.847364548200309555e-06	9.175452200154407015e-07
9.501000000000000000e+03	-1.779136347382749696e-06	9.238545869195540721e-07
9.601000000000000000e+03	-1.761074940872693922e-06	9.009318377948644011e-07
9.701000000000000000e+03	-1.774552910946190634e-06	9.145999949049170369e-07
9.801000000000000000e+03	-1.794595834211615159e-06	8.697307889086145649e-07
9.901000000000000000e+03	-1.789506394087632000e-06	8.835054602841363520e-07
1.000100000000000000e+04	-1.808581678497547324e-06	8.503240727617010560e-07
1.010100000000000000e+04	-1.837168748158204675e-06	8.321968162359813060e-07
1.020100000000000000e+04	-1.829830462651046043e-06	8.787463649807808223e-07
1.030100000000000000e+04	-1.899962591975245098e-06	9.035108453896663537e-07
1.040100000000000000e+04	-1.894886316099097110e-06	8.867987662132775991e-07
1.050100000000000000e+04	-1.951424650238169061e-06	9.094823105026893086e-07
1.060100000000000000e+04	-1.974673958502436754e-06	9.668977660118069561e-07
1.070100000000000000e+04	-2.005962919940239392e-06	9.562219421183029998e-07
1.080100000000000000e+04	-1.985251883448029945e-06	1.023928465841894291e-06
1.090100000000000000e+04	-2.017243867130883453e-06	1.061254110158159775e-06
1.100100000000000000e+04	-2.022414505469649593e-06	1.111516086037828048e-06
1.110100000000000000e+04	-2.031859789933273302e-06	1.136579335107157662e-06
1.120100000000000000e+04	-2.093067542618226602e-06	1.154257181932904200e-06
1.130100000000000000e+04	-2.106539657277006709e-06	1.145159803726296069e-06
1.140100000000000000e+04	-2.177266736499458409e-06	1.187452274163689275e-06
1.150100000000000000e+04	-2.208543797921289002e-06	1.250774073677429662e-06
1.160100000000000000e+04	-2.248139337125412959e-06	1.284940246935514283e-06
1.170100000000000000e+04	-2.284056291691570451e-06	1.425051109317934788e-06
1.180100000000000000e+04	-2.349870841857780675e-06	1.493505214072465403e-06
1.190100000000000000e+04	-2.348922115114556906e-06	1.597585611578757034e-06
1.200100000000000000e+04	-2.377010046667350243e-06	1.679316490488314763e-06
1.210100000000000000e+04	-2.423662523436350590e-06	1.792703571459507475e-06
1.220100000000000000e+04	-2.406410309088128242e-06	1.880769978693729088e-06
1.230100000000000000e+04	-2.455681671089473100e-06	2.044501203352916165e-06
1.240100000000000000e+04	-2.462632728892311165e-06	2.163466001838183076e-06
1.250100000000000000e+04	-2.495314021435679863e-06	2.293583594704708902e-06
1.260100000000000000e+04	-2.651504030217033505e-06	2.426933541424821773e-06
1.270100000000000000e+04	-2.941490586179004392e-06	2.775123137937295618e-06
1.280100000000000000e+04	-2.889806714602839124e-06	3.635098431052316208e-06
1.290100000000000000e+04	-1.984728763965192427e-06	4.580807289419269359e-06
1.300100000000000000e+04	-2.547506368326001997e-07	4.931600141615901284e-06
1.310100000000000000e+04	1.520971335487637522e-06	4.498876242053098201e-06
1.320100000000000000e+04	2.515042352009601498e-06	3.715083321788335861e-06
1.330100000000000000e+04	2.880744090007471108e-06	2.926115005943488757e-06
1.340100000000000000e+04	2.866623297634607167e-06	2.302023041817540302e-06
1.350100000000000000e+04	2.729273858666088604e-06	1.841171047452505913e-06
1.360100000000000000e+04	2.560013703014642974e-06	1.453426148507590120e-06
1.370100000000000000e+04	2.357036337125828480e-06	1.228831140619924441e-06
1.380100000000000000e+04	2.103713793784774574e-06	9.769732388830924493e-07
1.390100000000000000e+04	1.898471811186897857e-06	8.123648370578091249e-07
1.400100000000000000e+04	1.716414754874240640e-06	6.810732278777334476e-07
1.410100000000000000e+04	1.500581722520517265e-06	5.309072381770633111e-07
1.420100000000000000e+04	1.354356267175805259e-06	4.420971787973293205e-07
1.430100000000000000e+04	1.134220971101767862e-06	3.700229650291756623e-07
1.440100000000000000e+04	9.491683879805875376e-07	2.984217144326923999e-07
1.450100000000000000e+04	7.781745628344036506e-07	2.490972360947781754e-07
1.460100000000000000e+04	5.955023949803337590e-07	2.329255791590938431e-07
1.470100000000000000e+04	4.951356063819713283e-07	1.934818710652230658e-07
1.480100000000000000e+04	3.835800176088092253e-07	2.273335522683849888e-07
1.490100000000000000e+04	2.361875208631431992e-07	2.364947680086422572e-07
1.500100000000000000e+04	1.516788023680585408e-07	2.461256335871884733e-07
1.510100000000000000e+04	4.787815921377228400e-08	2.715437177490816787e-07
